priority,country,company,website,public_email,phone,target_role,transport_profile,dach_signal,outreach_angle,status,source_url
A,Croatia,Kraljević LTI,https://kraljevic-lti.hr/,info@kraljevic-lti.hr,"+385 49 373 594; +385 98 189 1736","Owner / transport management","International road transport, own fleet, logistics and warehousing","Fleet covers the EU; international transport is a core service","Operational continuity during fleet growth; German status, ETA and handover support",research_verified,https://kraljevic-lti.hr/
A,Croatia,Transeuro,https://transeuro.hr/,info@transeuro.hr,"+385 98 366 548","Director / dispatch","Regular and extraordinary transport, permits, escorts and heavy cargo","International and complex transport; public dispatch function","Exception handling, documentation and German communication for complex transports",research_verified,https://transeuro.hr/
B,Croatia,RALU Logistika,https://ralulogistics.com/,contact_form,"+385 1 6285 261","Logistics management","International temperature-controlled and standard transport; Croatia and Serbia infrastructure","International transport across Europe","Overflow or continuity support on Balkan–DACH operations; lower priority due to company size",research_verified,https://ralulogistics.com/kontakt/
A,Serbia,General Transport,https://www.generaltransport.rs/,info@generaltransport.rs,"+381 63 507 705; +381 21 644 6871","Owner / operations manager","International transport, groupage, express delivery and forwarding; 20 vans","Regular weekly import and export; Germany, Austria and Switzerland among main markets","Status, ETA and German customer communication for recurring DACH lines",research_verified,https://www.generaltransport.rs/kontakt/
B,Serbia,Kalajanović,https://kalajanovic.com/,office@kalajanovic.com,public_whatsapp_viber,"Owner / transport management","Truck, van and groupage transport, customs and warehousing","Frequent business with Germany, Austria and Switzerland alongside UK lanes","Multilingual case handover and exception communication across mixed Western European routes",research_verified,https://kalajanovic.com/
A,Serbia,Simšped,https://www.simsped.com/,transport@simsped.com,"+381 11 4146 310; +381 62 420 220","Transport manager / dispatcher","International, refrigerated and ADR transport; 15 refrigerated trailers","Germany is a named core market; public dispatcher role","High-consequence status, temperature, ADR and delivery-window escalation support",research_verified,https://www.simsped.com/
A,Bosnia and Herzegovina,MM Transport & Logistics,https://mmtrans.ba/,mmtransport364@gmail.com,"+387 65 666 885; +387 62 074 510","Owner / operations","Road transport, groupage, express and warehousing","Germany, Austria, Switzerland and Benelux are named destinations; GPS and CMR processes","German communication and structured ETA updates without replacing existing GPS tracking",research_verified,https://mmtrans.ba/
B,Bosnia and Herzegovina,Aviano Transport,https://avianotransport.com/,office@avianotransport.com,"+387 66 821 740; +387 66 774 477","Owner / logistics management","International groupage, logistics and third-party warehousing","Regional cross-border operations in BiH, Croatia, Serbia and Slovenia; DACH fit to verify","Potential DACH expansion and groupage handover support; qualify routes before outreach",research_verified,https://avianotransport.com/
B,Bosnia and Herzegovina,Nirmex,https://nirmex.ba/,contact_form,"+387 61 195 950","Owner / transport management","International transport and logistics; 15 trucks and 30 years of experience","EU-standard international operations; exact DACH frequency to verify","Owner-managed fleet continuity and German communication; qualify actual DACH lanes first",research_verified,https://nirmex.ba/
A,Bosnia and Herzegovina,Ali Company,https://alicompany.ba/,ali.company@bih.net.ba,"+387 61 163 772","Director / dispatch","40 units: container and curtain-side transport; 60 employees","Germany and Austria are named curtain-side markets","Separate container and curtain-side dispatch streams need structured status and shift handover",research_verified,https://alicompany.ba/transport
A,Bosnia and Herzegovina,Nezemimu & Vead Trans,https://nv-trans.com/,doonezemimu@gmail.com,"+387 35 627 304","Owner / operations","Full and groupage loads across Europe with route planning and tracking","Germany is listed among the most intensive import/export markets","German customer communication, exception handling and documented next-check points",research_verified,https://nv-trans.com/
